SubmissionID,StudentID,Problem,Status,Score,CodeLength,SubmissionTime
43346,15,4,Runtime Error,0,1001,11:22:44
43345,111,2,Accepted,40,2371,11:21:59
43344,16,4,Accepted,30,1081,11:21:58
43343,113,3,Accepted,30,613,11:21:44
43342,46,4,Runtime Error,22,2399,11:21:42
43341,59,4,Wrong Answer,30,1009,11:21:38
43340,49,4,Accepted,30,1471,11:21:38
43339,31,3,Wrong Answer,0,526,11:21:11
43338,63,4,Runtime Error,20,1216,11:21:05
43337,46,4,Runtime Error,20,2491,11:20:51
43336,59,4,Wrong Answer,30,1093,11:20:47
43335,15,2,Wrong Answer,32,1534,11:20:44
43334,88,3,Wrong Answer,24,306,11:20:42
43333,36,3,Wrong Answer,24,612,11:20:18
43332,88,3,Wrong Answer,24,311,11:20:03
43331,73,4,Accepted,30,1068,11:19:44
43330,89,4,Accepted,30,1585,11:19:31
43329,30,3,Accepted,30,750,11:19:12
43328,88,4,Accepted,30,686,11:19:10
43327,31,3,Wrong Answer,0,526,11:18:18
43326,116,3,Accepted,30,775,11:17:50
43325,63,4,Runtime Error,20,1215,11:17:48
43324,10,1,Accepted,30,357,11:17:18
43323,30,3,Wrong Answer,0,778,11:17:01
43322,31,3,Wrong Answer,0,521,11:16:27
43321,15,4,Runtime Error,0,981,11:15:52
43320,116,3,Runtime Error,26,692,11:15:51
43319,98,4,Accepted,30,990,11:15:30
43318,63,4,Runtime Error,14,1180,11:15:22
43317,51,3,Accepted,30,838,11:15:22
43316,75,4,Runtime Error,0,1504,11:14:43
43315,29,2,Accepted,40,1688,11:14:36
43314,31,3,Wrong Answer,0,521,11:14:30
43313,16,4,Wrong Answer,16,1033,11:14:20
43312,73,4,Runtime Error,20,1067,11:14:20
43311,116,3,Runtime Error,0,686,11:14:13
43310,81,4,Wrong Answer,0,1505,11:14:12
43309,1,4,Accepted,30,794,11:13:57
43308,84,4,Accepted,30,1550,11:13:49
43307,51,3,Wrong Answer,14,838,11:13:03
43306,15,4,Runtime Error,0,981,11:12:38
43305,46,4,Runtime Error,22,2116,11:12:30
43304,75,4,Runtime Error,0,1510,11:12:15
43303,29,2,Wrong Answer,30,1689,11:12:11
43302,2,3,Wrong Answer,4,299,11:11:51
43301,29,2,Wrong Answer,0,1687,11:11:48
43300,63,4,Runtime Error,0,1106,11:11:43
43299,82,4,Accepted,30,1484,11:11:42
43298,16,4,Wrong Answer,16,1000,11:11:29
43297,81,4,Wrong Answer,0,1484,11:11:25
43296,55,4,Accepted,30,1253,11:11:16
43295,13,3,Accepted,30,869,11:11:05
43294,98,4,Wrong Answer,14,854,11:10:36
43293,86,3,Accepted,30,501,11:10:24
43292,69,4,Accepted,30,752,11:09:59
43291,59,4,Wrong Answer,30,841,11:09:02
