排名,代號,名稱,成交,漲跌價,漲跌幅,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,ROA(%),ROA增減,ROE(%),ROE增減,EPS(元),EPS增減(元),財報評分
210,3702,大聯大,38.4,+0.2,+0.5,2018,"5,451",+2.37,236,+6.68,74.6,+2.11,4.33,+0.18,1.38,0,4.01,-0.11,14.1,-0.33,4.22,+0.12,26
211,4433,興采,37.6,-1.4,-3.6,2018,16,+6.73,3.36,+7.76,0.63,+526,21,+0.2,3.88,+3.23,3.78,+3.14,7.11,+5.96,2.1,+1.76,43
212,1712,興農,18.6,+0.05,+0.3,2018,181,+4.92,49.1,+4.05,7.27,+25.8,27,-0.22,4.05,+0.69,4.86,+1.11,10.7,+1.43,1.74,+0.24,43
213,6202,盛群,67.4,+0.2,+0.3,2018,48.6,+5.37,23.9,+10.7,10.6,+14.9,49.2,+2.39,22,+1.73,19.6,+1.77,25.7,+2.56,4.7,+0.6,77
214,1609,大亞,10.05,-0.05,-0.5,2018,186,+11,12.8,-17.4,4.71,+0.81,6.89,-2.37,3.08,-0.59,2.94,-0.45,7.15,-0.85,0.83,0,38
215,4560,強信-KY,50,+0.3,+0.6,2018,18.2,+32.1,7.46,+32.5,3.13,+54.1,41,+0.12,17.2,+2.46,14.3,+3.35,20.1,+4.51,4.76,+1.51,66
216,6208,日揚,24.5,-0.1,-0.4,2018,22.4,+32.4,7.19,+31.2,2.09,+15.4,32.1,-0.28,9.53,-1.16,8,-0.13,11.4,+0.73,2.11,+0.28,51
217,6582,申豐,51.8,-0.2,-0.4,2018,36.9,+24.1,8.11,+19.4,4.27,+23.7,22,-0.87,11.6,-0.04,11.8,+1.22,13.3,+0.81,4.08,+0.62,62
218,3546,宇峻,62,+0.2,+0.3,2018,11.3,+14.6,9.96,+12,1.91,+11.8,87.9,-2.03,16.8,-0.43,13.6,+0.39,17,+0.67,4.62,+0.01,70
219,4989,榮科,23.1,+0.15,+0.7,2018,32.1,-15,4.58,-48,2.77,-53.8,14.3,-9.07,8.62,-7.26,10.4,-14.7,12.4,-20,1.88,-2.4,57
220,8383,千附,36.1,-0.15,-0.4,2018,34,+6.44,7.12,-26.7,3.03,-36.1,20.9,-9.46,8.91,-5.93,5.92,-3.97,8.9,-5.32,2.57,-1.45,45
221,2204,中華,24.55,+0.5,+2.1,2018,349,-10.4,61.9,-5.07,35.9,-12.5,17.8,+0.99,11.2,-0.51,6.08,-1.14,7.06,-1.41,2.64,-0.37,55
222,2034,允強,26,-0.2,-0.8,2018,191,-0.71,20.2,+1.26,9.1,+11.5,10.6,+0.21,4.76,+0.52,7.69,+0.76,11.8,+0.93,2.23,+0.23,40
223,6593,台灣銘板,26,+0.05,+0.2,2018,7.56,-3.63,1.84,+5.18,0.54,+27.1,24.3,+2.04,7.14,+1.73,6.51,+1.52,10.8,+1.1,2.76,+0.41,53
224,6168,宏齊,14.45,-0.1,-0.7,2018,29.2,-2.98,5.65,-14.8,2.36,+4.13,19.3,-2.67,7.99,+0.21,6.01,0,8.33,-0.62,1.15,+0.03,49
225,3556,禾瑞亞,47.7,-0.3,-0.6,2018,10.8,-6.17,5.97,-5.08,1.98,-5.33,55.4,+0.64,18.1,-0.28,13.5,-0.71,16.5,-1.09,3.32,-0.19,72
